	ID	affect_dimension	intensity_scores	intensity_descriptions	tweets
11	2017-En-30926	valence	1	 slightly positive emotional state can be inferred	xxupp_str For what a beautiful day.
12	2017-En-31186	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str We have been a better second half team this season. xxupp_str So there's that.
13	2017-En-40689	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Back to forest drama -\nfrom my  hashtag  forest  hashtag  music - series,  number \n hashtag nature  hashtag  dark  hashtag  art  hashtag  photography  hashtag  finland
14	2017-En-41406	valence	-3	 very negative emotional state can be inferred	user_mention much  hashtag  sadness and  hashtag  heartbreak
15	2017-En-21080	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa xxupp_str Parks  hashtag  quotes  hashtag  motivation
16	2017-En-20939	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Walk right through them! xxupp_str See way past them, and don't even hesitate running them over.
17	2017-En-31477	valence	2	 moderately positive emotional state can be inferred	user_mention it looks cool and animated well for pixel art !
18	2017-En-40928	valence	1	 slightly positive emotional state can be inferred	xxupp_str Over  number % of social sharing is dark &amp; over  number % of web traffic comes from  hashtag  dark social user_mention  hashtag  lift social
19	2017-En-31349	valence	2	 moderately positive emotional state can be inferred	xxupp_str CommunitySleepCoach: xxupp_str Look at these  hashtag  narcoleptic  hashtag  puppies xxupp_str Make you  hashtag  smile xxupp_str If you are human &amp; find yourself in such odd positions, seek  hashtag  th
20	2017-En-30077	valence	3	 very positive emotional state can be inferred	now that xxupp_all I have my future planned out, xxupp_all I feel so much happier  hashtag  goals  hashtag  life  hashtag  i got this  hashtag  yay
21	2017-En-30614	valence	1	 slightly positive emotional state can be inferred	 hashtag  hate going to the doctor on so many levels but least xxupp_all I can go sleep with a  hashtag  smile just watched  hashtag  dwight on live nation
22	2017-En-41038	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Happy xxupp_str Birthday, xxupp_all LOST! /  hashtag  lost  hashtag  dharma initiative  hashtag   number  years  hashtag  22september2004  hashtag  oceanic  number 
23	2017-En-41396	valence	-2	 moderately negative emotional state can be inferred	xxupp_str People too weak to follow their own dreams will always find a way to discourage yours.
24	2017-En-41145	valence	-2	 moderately negative emotional state can be inferred	user_mention sadly beautiful photo.
25	2017-En-20726	valence	-2	 moderately negative emotional state can be inferred	user_mention peanut butter???? xxupp_str You some kinda pervert??
26	2017-En-10462	valence	-2	 moderately negative emotional state can be inferred	xxupp_str My baskets are better when xxupp_str I'm in a bad mood someone irritate me before practice please
27	2017-En-30210	valence	1	 slightly positive emotional state can be inferred	xxupp_str Remember: xxupp_str The life you have is a blessing for  hashtag  god xxupp_str Make it a joyful experience regardless of the odds. xxupp_all GBY
28	2017-En-10133	valence	-1	 slightly negative emotional state can be inferred	user_mention fucked my coupon that goal!
29	2017-En-41412	valence	-3	 very negative emotional state can be inferred	xxupp_str It's always depressing to sort xxupp_str WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.'
30	2017-En-31023	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman
31	2017-En-30331	valence	1	 slightly positive emotional state can be inferred	xxupp_str Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN
32	2017-En-10512	valence	0	 neutral or mixed emotional state can be inferred	user_mention the best revenge is to get yourself a good woman and move on. xxupp_str Leave her and her hairline to figure themselves out alone
33	2017-En-30789	valence	-1	 slightly negative emotional state can be inferred	user_mention the forth character? xxupp_str No... not gleeful enough...
34	2017-En-21121	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str My view of the human being is as a dynamic expression of the xxupp_str Cosmos we exist within  hashtag  humanism  hashtag  a we
35	2017-En-31460	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_all YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters
36	2017-En-40579	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention _m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. xxupp_str Well they thought right.
37	2017-En-30558	valence	1	 slightly positive emotional state can be inferred	xxupp_str Hey xxupp_all NASCAR fans. xxupp_str Are you going to the race in xxupp_str Loudon this weekend? xxupp_str Why not stop by xxupp_str New xxupp_str Day xxupp_str Diner for a great hearty breakfast before you go
38	2017-En-31379	valence	1	 slightly positive emotional state can be inferred	xxupp_str Love your new show user_mention
39	2017-En-30917	valence	0	 neutral or mixed emotional state can be inferred	user_mention 'Oh!' xxupp_str Almost with odd cheerfulness, xxupp_str Big xxupp_str Boss offers: 'Muzzle flash blinding. xxupp_str Accidental by the guy who became my best friend.'
40	2017-En-31281	valence	2	 moderately positive emotional state can be inferred	user_mention user_mention user_mention xxupp_str Easy, breezy, beautiful...
41	2017-En-31189	valence	3	 very positive emotional state can be inferred	xxupp_str Being in the countryside all day was so pleasing
42	2017-En-30750	valence	-2	 moderately negative emotional state can be inferred	user_mention _ing you asshole... you made me sexually attacked to a animated bear xxupp_all :-P
43	2017-En-22058	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention they're both pretty awful when you look at them historically
44	2017-En-30420	valence	1	 slightly positive emotional state can be inferred	user_mention those sparkling looks like a gay vampire 😁
45	2017-En-20754	valence	-2	 moderately negative emotional state can be inferred	xxupp_str What do xxupp_str Aquila, xxupp_str Ajahnae, and xxupp_str Euriechsa have in common besides ridiculously stupid,horrible,ugly, xxupp_str God awful names? xxupp_str Tracey xxupp_all IS xxupp_all NOT their father
46	2017-En-31213	valence	2	 moderately positive emotional state can be inferred	user_mention aww thank you!! xxupp_str I'm definitely feeling much better today and your messages cheer me up too ☺️
47	2017-En-30226	valence	1	 slightly positive emotional state can be inferred	xxupp_str The xxupp_all T.I / xxupp_str Shawty xxupp_str Lo beef is one of the more underrated ones in hip-hop history. xxupp_str Chock-full of wit, bravado and hilarity.
48	2017-En-30475	valence	1	 slightly positive emotional state can be inferred	xxupp_str And you as well!  hashtag  sparkling user_mention user_mention user_mention user_mention user_mention user_mention
49	2017-En-21150	valence	-2	 moderately negative emotional state can be inferred	@1johndes ball watching &amp; xxupp_str Rojo'd header was equally dreadful!!
50	2017-En-11457	valence	1	 slightly positive emotional state can be inferred	xxupp_str For every minute you are angry you lose sixty seconds of happiness. - xxupp_str Ralph xxupp_str Waldo xxupp_str Emerson  hashtag  quote
51	2017-En-40386	valence	0	 neutral or mixed emotional state can be inferred	user_mention  hashtag  charlotte protest do u  hashtag  wait  number  the facts  hashtag  video or do u  hashtag  hate now ask questions later  hashtag  protest  hashtag  police shootings  hashtag  suggestions
52	2017-En-40771	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Please bear with me, xxupp_str I'm not xxupp_str Twitter savvy😝 in real life xxupp_str I'm a xxupp_str Facebook person. xxupp_str Help me gain followers 🤓  hashtag  blog  hashtag  self help
53	2017-En-20593	valence	-2	 moderately negative emotional state can be inferred	xxupp_str And here we go again 😓
54	2017-En-30100	valence	3	 very positive emotional state can be inferred	xxupp_all I found  hashtag  marmite in xxupp_str Australia. `:)  hashtag  happy
55	2017-En-30611	valence	1	 slightly positive emotional state can be inferred	xxupp_str Misery loves company. xxupp_str The church ought to be a place where it finds none.\n-Pastor xxupp_str Kris xxupp_str Theobald  hashtag  joy  hashtag  rejoice
56	2017-En-21527	valence	2	 moderately positive emotional state can be inferred	xxupp_str Does this blow your mind as much as it blew mine, or did xxupp_all I just sexually harass someone? xxupp_all  hashtag  whoa  hashtag  mind blown  hashtag  huh  hashtag  setback  hashtag  fright  hashtag  mad as hell 😂
57	2017-En-10199	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention he has xxupp_all BAD xxupp_all TEMPERAMENT  hashtag  hissy fits
58	2017-En-30535	valence	0	 neutral or mixed emotional state can be inferred	user_mention looking like user_mention in his heyday
59	2017-En-30739	valence	-2	 moderately negative emotional state can be inferred	user_mention _susie xxupp_str They ain't going away, and xxupp_all I don't want to see them hurt; changing hearts/minds is really our only option, no?
60	2017-En-30502	valence	0	 neutral or mixed emotional state can be inferred	i'm doing laundry and watching that  number 's show with a bunch of strangers.  hashtag  birthday  hashtag  to  hashtag  me
61	2017-En-31249	valence	1	 slightly positive emotional state can be inferred	that's my breezy breezy breezy that's my breezy that's my buzzinnnnnn.
62	2017-En-31557	valence	0	 neutral or mixed emotional state can be inferred	never  hashtag  make a decision when you are ..  hashtag  angry &gt;_&lt; .... and never make a  hashtag  promis when you are  hashtag  happy :) :*
63	2017-En-20042	valence	-3	 very negative emotional state can be inferred	user_mention you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...
64	2017-En-31117	valence	3	 very positive emotional state can be inferred	xxupp_all A delight to be at the xxupp_str Lane tonight and witness the debuts of some young talent that could be the backbone of our club!! xxupp_all  hashtag  coys
65	2017-En-20199	valence	-2	 moderately negative emotional state can be inferred	xxupp_all I can never find the exact  hashtag  e moji that xxupp_str I'm after at the exact moment that xxupp_all I need it  hashtag  panic
66	2017-En-30063	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str Ah, but once xxupp_all I got it to work, there was much rejoicing! xxupp_str Lol thanks will get it to do taht now.
67	2017-En-10138	valence	-2	 moderately negative emotional state can be inferred	..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!
68	2017-En-10716	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Praying for the  hashtag  lord to keep  hashtag  anger  hashtag  hate  hashtag  jealousy away from your heart is a sign of  hashtag  maturity  hashtag  conciseness
69	2017-En-40639	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Never let me see you frown
70	2017-En-40116	valence	-3	 very negative emotional state can be inferred	user_mention your xxupp_all UX online is appalling! xxupp_str No clear save button, not being able to use any generic xxupp_str TLD's  hashtag  unhappy
71	2017-En-31207	valence	0	 neutral or mixed emotional state can be inferred	user_mention more of a hearty xxupp_str Italian man myself
72	2017-En-21895	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention xxupp_str Not a word about terrorism.
73	2017-En-30810	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_str We've had no foreign policy but have had goofy xxupp_str Secretary of xxupp_str State xxupp_str John xxupp_str Kerry with his devil may care pose and jaunty blue scarf.
74	2017-En-40758	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Very long day. xxupp_str Thank goodness for xxupp_str Bake xxupp_str Off to brighten up a weary xxupp_str Wednesday ☺ xxupp_all  hashtag  gb bo
75	2017-En-30021	valence	3	 very positive emotional state can be inferred	xxupp_str When you wake up from a dream laughing at something stupid, and that makes you laugh more  hashtag  hilarious
76	2017-En-20518	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Hope was an instinct only the reasoning human mind could kill. xxupp_str An animal never knew despair.
77	2017-En-11107	valence	-3	 very negative emotional state can be inferred	user_mention xxupp_str Don xxupp_str King is an insult to the intelligence of the xxupp_str Black xxupp_str Community. xxupp_str What are these people thinking?
78	2017-En-30998	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str My first time watching your vids and i died of laughter. xxupp_str Keep this up dude
79	2017-En-30725	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention xxupp_str Its okay to be trans just rejoice with the trans in the trans way. xxupp_str By the way it's not your business, so why care?
80	2017-En-21875	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Omg xxupp_all I actually thought she was going to jump.  hashtag  south park  number   hashtag  south park
81	2017-En-30068	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str Glad to see that you're having fun in the sun. xxupp_str Water sports are always fun, challenging, and exhilarating.  hashtag  happiness  hashtag  beauty
82	2017-En-41505	valence	-2	 moderately negative emotional state can be inferred	xxupp_str This whole  hashtag  van re + extradition might turn into a xxupp_str Pandora's box. xxupp_all JT has no idea about that murky corrupt guanxi in xxupp_str China; xxupp_str Toad vs xxupp_str Dada ;-)
83	2017-En-21858	valence	-3	 very negative emotional state can be inferred	xxupp_str Body is sleepy but the mind is active. xxupp_str So sad... xxupp_str Have to get ready for work in  number  minutes. xxupp_str Damn!  hashtag  restless
84	2017-En-31388	valence	1	 slightly positive emotional state can be inferred	xxupp_str The xxupp_all LORD your xxupp_str God is in your midst—a warrior bringing victory. xxupp_str He will create calm with his love; he will rejoice over you with singing.
85	2017-En-30198	valence	3	 very positive emotional state can be inferred	 hashtag  personal development nn today is a gift, that's why it's called the present...  hashtag  happiness  hashtag  optimism  hashtag  entrepreneur  hashtag  personal development …
86	2017-En-31169	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Nice xxupp_str Idea collect all relevant socialmedia in one-But dont be automatic pls  hashtag  world sapp ⬅️  hashtag  chirp  hashtag  apps world  hashtag  social media user_mention merci🎈
87	2017-En-21318	valence	-2	 moderately negative emotional state can be inferred	xxupp_all I can never find the exact  hashtag  e moji that xxupp_str I'm after at the exact moment that xxupp_all I need it  hashtag  nuclear  hashtag  missiles nn indian army
88	2017-En-10460	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Brendan xxupp_str Rodgers looks fuming 😭
89	2017-En-22193	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_all CN seems like you only appreciate good reviews. xxupp_str No apologies to my concern years ago.
90	2017-En-30117	valence	3	 very positive emotional state can be inferred	xxupp_str My friend just messaged me 'ugh xxupp_str I'm so hungry xxupp_all I can't wait for breakfast'  hashtag  social media  hashtag  wine wednesday  hashtag  hilarious  hashtag  funny  hashtag  laughing  hashtag  happy
91	2017-En-30189	valence	2	 moderately positive emotional state can be inferred	xxupp_all I am always ready to  hashtag  smile
92	2017-En-10379	valence	-2	 moderately negative emotional state can be inferred	user_mention any time a man who got paid to throw temper tantrums speaks up, you gotta listen.
93	2017-En-10355	valence	-3	 very negative emotional state can be inferred	user_mention it's the irritation of not having found the corpse
94	2017-En-31552	valence	2	 moderately positive emotional state can be inferred	xxupp_str Like xxupp_all I said ➡ there's plenty of cheddar in the cheese to go around! xxupp_str For everyone. ☺  hashtag  smile
95	2017-En-41183	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str I'm  hashtag  mad that my brother is  hashtag  sad ! xxupp_str Feel better bub!
96	2017-En-30767	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str It's so sad! xxupp_str There's always such optimism with a new year. xxupp_str This is...not good. user_mention user_mention
97	2017-En-30933	valence	3	 very positive emotional state can be inferred	one thing xxupp_all I can say is that you kept me smiling
98	2017-En-30269	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str It's meant to be!!
99	2017-En-30462	valence	1	 slightly positive emotional state can be inferred	xxupp_str Your lion's heart\nWill protect you under stormy skies\nAnd xxupp_all I will always be listening for your laughter and your tears
100	2017-En-31341	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Lets get this xxupp_str Astros/A's game going already! xxupp_str We're going to need all  number  of you in attendance to cheer the xxupp_str A's to victory!
101	2017-En-31238	valence	2	 moderately positive emotional state can be inferred	xxupp_str Well that was exhilarating. xxupp_all I didn't know you could have goosebumps for  number  hrs 5m straight.
102	2017-En-31440	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!
103	2017-En-31466	valence	1	 slightly positive emotional state can be inferred	xxupp_str Vincent looking super lively boy... xxupp_str Hattrick perhaps lol
104	2017-En-40080	valence	-2	 moderately negative emotional state can be inferred	in health we did a think about depression and now i feel like i have it
105	2017-En-10339	valence	-1	 slightly negative emotional state can be inferred	user_mention _ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔
106	2017-En-11026	valence	-3	 very negative emotional state can be inferred	xxupp_all I xxupp_all HATE little girls 😡😡 got a lot off growing up to do!!!  hashtag  fuming
107	2017-En-21272	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_all I am working on a feature right now about the preponderance of awful owners who are at war with fans. xxupp_str So many to choose from.
108	2017-En-31494	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str It take so little to make a child's life joyful, why do we work so hard to make their lives hell? user_mention xxupp_str Peace
109	2017-En-30228	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Omg xxupp_str I'm outside making beats with garageband and some little birds decided to chirp along （≧∇≦）
110	2017-En-40273	valence	-2	 moderately negative emotional state can be inferred	user_mention sadly his best days are behind him
111	2017-En-20423	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention only offering  number  moth warranty  hashtag  ps4pro  hashtag  shocking  hashtag  truth  hashtag  rip off
112	2017-En-31263	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Ok, it seems there is still hope in xxupp_all BSNL 🙂\nNow, xxupp_all BB speed is ok 🙂\nBut xxupp_all I won't thank and elate much lest it be gone again like before 😐🙂
113	2017-En-30220	valence	1	 slightly positive emotional state can be inferred	chirp chirp! what a beautiful white and red bird! 🐦
114	2017-En-30616	valence	0	 neutral or mixed emotional state can be inferred	user_mention thought it'd be fun and it is not fun but on the bright side xxupp_all I don't have to fight for parking
115	2017-En-41395	valence	-3	 very negative emotional state can be inferred	xxupp_str It's been  number  weeks and xxupp_all I still go through depression smh
116	2017-En-10206	valence	-3	 very negative emotional state can be inferred	user_mention user_mention user_mention huh? xxupp_str We have a sprint coach? xxupp_str We're the slowest team in the comp. xxupp_str Talk about robbing a living.  hashtag  outrage
117	2017-En-30722	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention xxupp_all I wish, xxupp_all I really, truly wish, that xxupp_all I had just a modicum of your banter.
118	2017-En-30295	valence	3	 very positive emotional state can be inferred	xxupp_str Use your smile to change the world. xxupp_str Don't let the world change your smile.'  hashtag  quote  hashtag  actors life  hashtag  smile  hashtag  love  hashtag  hard work pays off  hashtag  fun
119	2017-En-40964	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str One point: xxupp_all DSP claims xxupp_str YTers lost half their viewership in  number  if they weren't using direct capture. xxupp_str That's when the search changes happened
120	2017-En-30744	valence	-2	 moderately negative emotional state can be inferred	xxupp_all .@POTUS xxupp_str Obama describes his temperament as 'steady &amp; on the buoyant side.'
121	2017-En-30377	valence	0	 neutral or mixed emotional state can be inferred	- the joyous occasion of laughing at the ostentatious display of disrespect. xxupp_str Bruce just scoffed at the entire scene. xxupp_str This wasn't xxupp_str Batman’s -
122	2017-En-30188	valence	3	 very positive emotional state can be inferred	xxupp_str The current run of superman continues to be a delight! xxupp_str You can feel the love poured into it by everone on the creative team  hashtag  superman
123	2017-En-31519	valence	1	 slightly positive emotional state can be inferred	xxupp_str Come to the user_mention xxupp_str FUNdraiser this xxupp_str Fri. at 8pm user_mention . xxupp_str Because  hashtag  pie +  hashtag  face = !
124	2017-En-21027	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_all user_mention xxupp_str That is xxupp_str Noah xxupp_str Ark, it's a terrific design.
125	2017-En-30276	valence	1	 slightly positive emotional state can be inferred	xxupp_str I'm a cheery ghost.
126	2017-En-31326	valence	0	 neutral or mixed emotional state can be inferred	did you know that the sparkling letters in xxupp_str Super xxupp_str Mario xxupp_str Galaxy spell out xxupp_all U xxupp_all R xxupp_all MR xxupp_all GAY
127	2017-En-11505	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_str Red heads are more fiery.
128	2017-En-21020	valence	2	 moderately positive emotional state can be inferred	xxupp_str Solid starts by  hashtag  bozz elli and  hashtag  ben evans xxupp_str Hoping for a good  hashtag  start !
129	2017-En-30426	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Relive xxupp_str Vegas' heyday with xxupp_str Rat xxupp_str Pack tribute
130	2017-En-10507	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_str It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you  hashtag  psycho wasp
131	2017-En-20140	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Job interview in the afternoon  hashtag  ek
132	2017-En-31363	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Today xxupp_all I answered a call from a college rep who didn't realize xxupp_all I did, and xxupp_all I got to hear part of his lively debate about if evolution is real.
133	2017-En-30417	valence	1	 slightly positive emotional state can be inferred	xxupp_str I've got some new pens to break in. xxupp_str Name an animated series and xxupp_str I'll draw you in that style 🖍
134	2017-En-10395	valence	-2	 moderately negative emotional state can be inferred	xxupp_str If xxupp_all I spend more than £ number  in shimmy on £ number  drinks xxupp_str I'll be raging, but we all know it's gonna happen
135	2017-En-30956	valence	3	 very positive emotional state can be inferred	 hashtag  terrible debate questions has given me so many laughs this afternoon! xxupp_str Thanks xxupp_str Twitter!  hashtag  clever people
136	2017-En-30393	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. xxupp_str This life sef
137	2017-En-30265	valence	1	 slightly positive emotional state can be inferred	xxupp_all I thought xxupp_all I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious
138	2017-En-22155	valence	-1	 slightly negative emotional state can be inferred	xxupp_all I seriously hope these chances xxupp_str Celtic are missing are going to come back to haunt them with an xxupp_str Alloa sucker punch
139	2017-En-41293	valence	-3	 very negative emotional state can be inferred	i cant live anymore my roblox got termianted :((((((((((((((((((((((((  hashtag  sad  hashtag  kill me  hashtag  lol  hashtag  rob lox gamer
140	2017-En-31381	valence	0	 neutral or mixed emotional state can be inferred	user_mention _Naylor *Connie came back in* xxupp_str Hey you seem a bit more lively
141	2017-En-20118	valence	-2	 moderately negative emotional state can be inferred	in my dream....They were trying to steal my kidney!!!  hashtag  black market  hashtag  why did i watch that
142	2017-En-20618	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Obama admin rejects xxupp_str Texas plan to have refugees vetted for terrorism so xxupp_str Texas pulls of of fed refugee resettlement program. xxupp_str Aiding .
143	2017-En-10907	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Just joined  hashtag  potter more and was sorted into xxupp_all HUFFLEPUFF 😡😡😡
144	2017-En-31432	valence	2	 moderately positive emotional state can be inferred	xxupp_str Impractical xxupp_str Jokers...practically genius!!! user_mention  hashtag  laughter  hashtag  good  number  the soul  hashtag  impractical jokers  hashtag  binge watching
145	2017-En-21015	valence	2	 moderately positive emotional state can be inferred	 hashtag  nana  number  hoco bc my dream since freshman year awe 😙❤❤❤ user_mention
146	2017-En-30678	valence	0	 neutral or mixed emotional state can be inferred	user_mention he chirp
147	2017-En-41196	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str The ghost of xxupp_str Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love.  hashtag  days
148	2017-En-30485	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully.  hashtag  w of icc
149	2017-En-10405	valence	-3	 very negative emotional state can be inferred	xxupp_str Guy across from me in a really ugly suit cannot stop expressing his displeasure
150	2017-En-30749	valence	1	 slightly positive emotional state can be inferred	f breezy
151	2017-En-30795	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Turns out 'it' wasn't even anything to be concerned about at all. xxupp_str Im happy and a bit frustrated it took so long to get this answer.
152	2017-En-41198	valence	-3	 very negative emotional state can be inferred	xxupp_str Bojack xxupp_str Horseman: the saddest show ever written??  hashtag  depression  hashtag  season  number 
153	2017-En-31596	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Dehydrated, exhausted, stressed but still blessed.
154	2017-En-31426	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all I want my highlight to be so bright that if xxupp_all I ever get lost and someone is looking for me in the dark, they'll find me.
155	2017-En-31479	valence	2	 moderately positive emotional state can be inferred	 hashtag  appreciate what you have &amp; enjoy your life. \nUse your  hashtag  smile 😃 to help others use theirs. ☺️
156	2017-En-30241	valence	1	 slightly positive emotional state can be inferred	xxupp_str What if.... the xxupp_str Metro xxupp_all LRT went over the xxupp_str Walterdale?!?! 😂  hashtag  yeg
157	2017-En-31123	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str We love you!  hashtag  hilarious xxupp_str We are looking forward to xxupp_all SO much more!  hashtag  kudos on the  hashtag  pilot user_mention _ABC  hashtag  speechless
158	2017-En-30708	valence	-2	 moderately negative emotional state can be inferred	xxupp_all A former diplomat is quite gleeful about the situation of xxupp_str Pakistan on user_mention \nNot quite stiff upper lip of diplomacy seen normally
159	2017-En-41041	valence	-3	 very negative emotional state can be inferred	xxupp_str Sigh. xxupp_all I got a xxupp_all B- ..  hashtag  depressing
160	2017-En-30347	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_str Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.
161	2017-En-31615	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Asked one thing from our guys tonight and got it!  hashtag  happy  hashtag  proud  hashtag  disappointed - xxupp_all THAT xxupp_all IS xxupp_all FOOTBALL  hashtag  time to climb the table
162	2017-En-30865	valence	2	 moderately positive emotional state can be inferred	xxupp_str When we give cheerfully and accept gratefully, everyone is blessed. »Maya xxupp_str Angelou
163	2017-En-30380	valence	1	 slightly positive emotional state can be inferred	xxupp_str When you're prof suggest user_mention and xxupp_str William xxupp_str James may be unlikely dialogue partners and then plays the  hashtag  happy video  hashtag  we are cst
164	2017-En-10643	valence	0	 neutral or mixed emotional state can be inferred	be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better
165	2017-En-40694	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Beats is accurately all-powerful with respect to high-quality high-frequency speaker in re the extra desolate relating to fire-ea:…
